ra,dec,,ra_deg
23.4667,61.2646,,352.0000
23.5333,61.4208,,353.0000
23.6000,61.5681,,354.0000
23.6667,61.7069,,355.0000
23.7333,61.8372,,356.0000
23.8000,61.9591,,357.0000
23.8667,62.0730,,358.0000
23.9333,62.1788,,359.0000
0.0000,62.2767,,0.0000
0.0667,62.3668,,1.0000
0.1333,62.4493,,2.0000
0.2000,62.5242,,3.0000
0.2667,62.5916,,4.0000
0.3333,62.6516,,5.0000
0.4000,62.7043,,6.0000
0.4667,62.7497,,7.0000
0.5333,62.7878,,8.0000
0.6000,62.8188,,9.0000
0.6667,62.8427,,10.0000
0.7333,62.8594,,11.0000
0.8000,62.8690,,12.0000
0.8667,62.8716,,13.0000
0.9333,62.8671,,14.0000
1.0000,62.8554,,15.0000
1.0667,62.8367,,16.0000
1.1333,62.8109,,17.0000
1.2000,62.7779,,18.0000
1.2667,62.7377,,19.0000
1.3333,62.6902,,20.0000
1.4000,62.6355,,21.0000
1.4667,62.5734,,22.0000
1.5333,62.5039,,23.0000
1.6000,62.4269,,24.0000
1.6667,62.3423,,25.0000
1.7333,62.2500,,26.0000
1.8000,62.1498,,27.0000
1.8667,62.0418,,28.0000
1.9333,61.9257,,29.0000
2.0000,61.8014,,30.0000
2.0667,61.6688,,31.0000
2.1333,61.5276,,32.0000
2.2000,61.3778,,33.0000
2.2667,61.2191,,34.0000
2.3333,61.0514,,35.0000
2.4000,60.8744,,36.0000
2.4667,60.6879,,37.0000
2.5333,60.4917,,38.0000
2.6000,60.2855,,39.0000
2.6667,60.0690,,40.0000
2.7333,59.8421,,41.0000
2.8000,59.6043,,42.0000
2.8667,59.3553,,43.0000
2.9333,59.0949,,44.0000
3.0000,58.8227,,45.0000
3.0667,58.5382,,46.0000
3.1333,58.2412,,47.0000
3.2000,57.9312,,48.0000
3.2667,57.6077,,49.0000
3.3333,57.2703,,50.0000
3.4000,56.9185,,51.0000
3.4667,56.5519,,52.0000
3.5333,56.1698,,53.0000
3.6000,55.7717,,54.0000
3.6667,55.3570,,55.0000
3.7333,54.9251,,56.0000
3.8000,54.4754,,57.0000
3.8667,54.0070,,58.0000
3.9333,53.5195,,59.0000
4.0000,53.0118,,60.0000
4.0667,52.4834,,61.0000
4.1333,51.9333,,62.0000
4.2000,51.3607,,63.0000
4.2667,50.7647,,64.0000
4.3333,50.1443,,65.0000
4.4000,49.4986,,66.0000
4.4667,48.8266,,67.0000
4.5333,48.1271,,68.0000
4.6000,47.3991,,69.0000
4.6667,46.6415,,70.0000
4.7333,45.8531,,71.0000
4.8000,45.0327,,72.0000
4.8667,44.1792,,73.0000
4.9333,43.2911,,74.0000
5.0000,42.3674,,75.0000
5.0667,41.4068,,76.0000
5.1333,40.4080,,77.0000
5.2000,39.3697,,78.0000
5.2667,38.2908,,79.0000
5.3333,37.1701,,80.0000
5.4000,36.0065,,81.0000
5.4667,34.7990,,82.0000
5.5333,33.5466,,83.0000
5.6000,32.2485,,84.0000
5.6667,30.9041,,85.0000
5.7333,29.5130,,86.0000
5.8000,28.0749,,87.0000
5.8667,26.5897,,88.0000
5.9333,25.0579,,89.0000
6.0000,23.4799,,90.0000
6.0667,21.8567,,91.0000
6.1333,20.1896,,92.0000
6.2000,18.4803,,93.0000
6.2667,16.7309,,94.0000
6.3333,14.9439,,95.0000
6.4000,13.1222,,96.0000
6.4667,11.2692,,97.0000
6.5333,9.3886,,98.0000
6.6000,7.4845,,99.0000
6.6667,5.5615,,100.0000
6.7333,3.6240,,101.0000
6.8000,1.6772,,102.0000
6.8667,-0.2741,,103.0000
